Launching algorithm with 108 blocks and 64 threads
markerMatrix read successfully :)
Converting into CSR ... 
generating input and output vectors for the moltiplication... 
copying data in the CUDA memory... 
performing matrix to vector multiplication...
thread 32 18 on row 55542
thread 33 18 on row 55589
thread 34 18 on row 55636
thread 35 18 on row 55683
thread 36 18 on row 55730
thread 37 18 on row 55777
thread 38 18 on row 55824
thread 39 18 on row 55871
thread 40 18 on row 55918
thread 41 18 on row 55965
thread 42 18 on row 56012
thread 43 18 on row 56059
thread 44 18 on row 56106
thread 45 18 on row 56153
thread 46 18 on row 56200
thread 47 18 on row 56247
thread 48 18 on row 56294
thread 49 18 on row 56341
thread 50 18 on row 56388
thread 51 18 on row 56435
thread 52 18 on row 56482
thread 53 18 on row 56529
thread 54 18 on row 56576
thread 55 18 on row 56623
thread 56 18 on row 56670
thread 57 18 on row 56717
thread 58 18 on row 56764
thread 59 18 on row 56811
thread 60 18 on row 56858
thread 61 18 on row 56905
thread 62 18 on row 56952
thread 63 18 on row 56999
thread 32 75 on row 226603
thread 33 75 on row 226650
thread 34 75 on row 226697
thread 35 75 on row 226744
thread 36 75 on row 226791
thread 37 75 on row 226838
thread 38 75 on row 226885
thread 39 75 on row 226932
thread 40 75 on row 226979
thread 41 75 on row 227026
thread 42 75 on row 227073
thread 43 75 on row 227120
thread 44 75 on row 227167
thread 45 75 on row 227214
thread 46 75 on row 227261
thread 47 75 on row 227308
thread 48 75 on row 227355
thread 49 75 on row 227402
thread 50 75 on row 227449
thread 51 75 on row 227496
thread 52 75 on row 227543
thread 53 75 on row 227590
thread 54 75 on row 227637
thread 55 75 on row 227684
thread 56 75 on row 227731
thread 57 75 on row 227778
thread 58 75 on row 227825
thread 59 75 on row 227872
thread 60 75 on row 227919
thread 61 75 on row 227966
thread 62 75 on row 228013
thread 63 75 on row 228060
thread 32 5 on row 16529
thread 33 5 on row 16576
thread 34 5 on row 16623
thread 35 5 on row 16670
thread 36 5 on row 16717
thread 37 5 on row 16764
thread 38 5 on row 16811
thread 39 5 on row 16858
thread 40 5 on row 16905
thread 41 5 on row 16952
thread 42 5 on row 16999
thread 43 5 on row 17046
thread 44 5 on row 17093
thread 45 5 on row 17140
thread 46 5 on row 17187
thread 47 5 on row 17234
thread 48 5 on row 17281
thread 49 5 on row 17328
thread 50 5 on row 17375
thread 51 5 on row 17422
thread 52 5 on row 17469
thread 53 5 on row 17516
thread 54 5 on row 17563
thread 55 5 on row 17610
thread 56 5 on row 17657
thread 57 5 on row 17704
thread 58 5 on row 17751
thread 59 5 on row 17798
thread 60 5 on row 17845
thread 61 5 on row 17892
thread 62 5 on row 17939
thread 63 5 on row 17986
thread 32 47 on row 142592
thread 33 47 on row 142639
thread 34 47 on row 142686
thread 35 47 on row 142733
thread 36 47 on row 142780
thread 37 47 on row 142827
thread 38 47 on row 142874
thread 39 47 on row 142921
thread 40 47 on row 142968
thread 41 47 on row 143015
thread 42 47 on row 143062
thread 43 47 on row 143109
thread 44 47 on row 143156
thread 45 47 on row 143203
thread 46 47 on row 143250
thread 47 47 on row 143297
thread 48 47 on row 143344
thread 49 47 on row 143391
thread 50 47 on row 143438
thread 51 47 on row 143485
thread 52 47 on row 143532
thread 53 47 on row 143579
thread 54 47 on row 143626
thread 55 47 on row 143673
thread 56 47 on row 143720
thread 57 47 on row 143767
thread 58 47 on row 143814
thread 59 47 on row 143861
thread 60 47 on row 143908
thread 61 47 on row 143955
thread 62 47 on row 144002
thread 0 59 on row 177101
thread 1 59 on row 177148
thread 2 59 on row 177195
thread 3 59 on row 177242
thread 4 59 on row 177289
thread 5 59 on row 177336
thread 6 59 on row 177383
thread 7 59 on row 177430
thread 8 59 on row 177477
thread 9 59 on row 177524
thread 10 59 on row 177571
thread 11 59 on row 177618
thread 12 59 on row 177665
